mask,frame,dataset,class_name
Dresden/train/Masks/abdominal_wall/03/00.png,Dresden/train/Frames/abdominal_wall/03/00.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/01.png,Dresden/train/Frames/abdominal_wall/03/01.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/02.png,Dresden/train/Frames/abdominal_wall/03/02.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/03.png,Dresden/train/Frames/abdominal_wall/03/03.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/04.png,Dresden/train/Frames/abdominal_wall/03/04.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/05.png,Dresden/train/Frames/abdominal_wall/03/05.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/06.png,Dresden/train/Frames/abdominal_wall/03/06.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/07.png,Dresden/train/Frames/abdominal_wall/03/07.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/08.png,Dresden/train/Frames/abdominal_wall/03/08.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/09.png,Dresden/train/Frames/abdominal_wall/03/09.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/10.png,Dresden/train/Frames/abdominal_wall/03/10.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/11.png,Dresden/train/Frames/abdominal_wall/03/11.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/12.png,Dresden/train/Frames/abdominal_wall/03/12.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/13.png,Dresden/train/Frames/abdominal_wall/03/13.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/14.png,Dresden/train/Frames/abdominal_wall/03/14.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/15.png,Dresden/train/Frames/abdominal_wall/03/15.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/16.png,Dresden/train/Frames/abdominal_wall/03/16.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/17.png,Dresden/train/Frames/abdominal_wall/03/17.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/18.png,Dresden/train/Frames/abdominal_wall/03/18.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/19.png,Dresden/train/Frames/abdominal_wall/03/19.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/20.png,Dresden/train/Frames/abdominal_wall/03/20.png,Dresden,abdominal_wall
Dresden/train/Masks/abdominal_wall/03/21.png,Dresden/train/Frames/abdominal_wall/03/21.png,Dresden,abdominal_wall
